Country,ParticipantName,Address,City,BIC,Status,Role,Readiness Date,Scheme Leaving Date,Scheme Options
ESTONIA,BIGBANK AS,Riia 2,Tartu,BIGKEE2BXXX,Ready for operations,Requesting PSP;Responding PSP,2025-07-17,,
ESTONIA,Coop Pank AS,Maakri 30,TALLINN,EKRDEE22XXX,Ready for operations,Requesting PSP;Responding PSP,2025-08-18,,
ESTONIA,Luminor Bank AS,Liivalaia 45,TALLINN,RIKOEE22XXX,Ready for operations,Requesting PSP;Responding PSP,2025-08-28,,
ESTONIA,Monemon AS,Telliskivi tn 60a-8,Talinn,MOMNEE22XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
ESTONIA,Swedbank AS,Liivalaia Street 8,TALLINN,HABAEE2XXXX,Ready for operations,Requesting PSP;Responding PSP,2025-08-11,,
FINLAND,Aktia Bank p.l.c.,Arkadiankatu 4-6,HELSINKI,HELSFIHHXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FINLAND,Alisa Bank Plc,Bulevardi 21 A,Helsinki,EVSEFIHHXXX,Ready for operations,Requesting PSP;Responding PSP,2025-08-25,,
FINLAND,BANK OF ALAND PLC,"2, NYGATAN",MARIEHAMN,AABAFI22XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FINLAND,Bonum Bank Ltd.,HEVOSENKENKA 3,ESPOO,POPFFI22XXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FINLAND,Holvi Payment Services Oy,Kaikukatu 2 C,Helsinki,HOLVFIHHXXX,Ready for operations,Requesting PSP;Responding PSP,2025-07-18,,
FINLAND,Narvi Payments Ob Ay,Nordic Law Oy Erottajankatu 5 A 6,HELSINKI,NARYFIH2XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FINLAND,Nordea Bank Abp,Satamaradankatu 5,HELSINKI,NDEAFIHHXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FINLAND,OP Corporate Bank plc,"Gebhardinaukio 1,",HELSINKI,OKOYFIHHXXX,Ready for operations,Requesting PSP;Responding PSP,2025-08-08,,
FINLAND,S-BANK Plc.,P.O.Box 77,Helsinki,SBANFIHHXXX,Ready for operations,Requesting PSP;Responding PSP,2025-08-03,,
FINLAND,SAASTOPANKKIEN KESKUSPANKKI SUOMI OY,Teollisuuskatu 33,HELSINKI,ITELFIHHXXX,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FINLAND,Wamo Solutions Oy,Lapinlahdenkatu 16,Helsinki,WAMOFIH2XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,Al Khaliji France SA,"49-51, AVENUE GEORGE V",PARIS,LICOFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,ALLIANZ BANQUE,"1, cours Michelet",Puteaux,AGFBFRCCXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,Arab Banking Corporation SA,8 rue Halevy,Paris,ABCOFRPPXXX,Ready for operations,Requesting PSP;Responding PSP,2025-08-23,,
FRANCE,ARKEA BANQUE ENTREPRISE ET INSTITUTIONNELS,1 ure Louis Lichou,Le Relecq-Kerhuon,CMBRFR2BCME,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,ARKEA BANQUE PRIVEE,"232, RUE GENERAL PAULET",BREST,FEFIFR21XXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,Arkea Direct Bank,"Tour Ariane 5, place de la Pyramide",Paris La Défense,FTNOFRP1XXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,ATTIJARIWAFA BANK EUROPE,6/8 RUE CHAUCHAT,PARIS,BCMAFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,AXA BANQUE SA,"203 / 205, rue Carnot",FONTENAY SOUS BOIS CEDEX,AXABFRPPXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANK AUDI France,"73, AVENUE DES CHAMPS ELYSEES",PARIS,AUDIFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,"BANK OF CHINA, PARIS BRANCH","23-25, AVENUE DE LA GRANDE ARMEE",PARIS,BKCHFRPPXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-14,,
FRANCE,BANK OF INDIA PARIS BRANCH,4 Rue Halévy,PARIS,BKIDFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BANK OF TOKYO-MITSUBISHI UFJ LTD. PARIS BRANCH,"4-8 RUE SAINTE ANNE, BP 2101",PARIS,BOTKFRPXXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BANQUE BCP,16 rue Hérold,PARIS,BPSMFRPPXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,Banque Cantonale de Genève France SA,20 Place Louis PRADEL,LYON,BCGEFR21XXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE CHABRIERES SA,24 RUE AUGUSTE CHABRIERES,PARIS,BCIBFRP1XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BANQUE CHALUS,"5, PLACE DE JAUDE",CLERMONT FERRAND,BCHAFR21XXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE CIC EST,31 rue Jean Wenger-Valentin,STRASBOURG,CMCIFRP1SNV,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,BANQUE CIC NORD OUEST,33 avenue Le Corbusier,LILLE,CMCIFRP1BSD,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,BANQUE CIC OUEST,2 avenue JC Bonduelle,NANTES,CMCIFRP1CIO,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,BANQUE CIC SUD OUEST,20 quai des Chartrons,BORDEAUX,CMCIFRP1SBC,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,BANQUE D'ESCOMPTE,7-11 Boulevard Haussmann,PARIS,ESCBFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BANQUE DE FRANCE,1 RUE DE LA VRILLIERE,PARIS,BDFEFRPPXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE DE SAVOIE,6 BLD DU THEATRE CS 82422,CHAMBERY CEDEX,BSAVFR2CXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE DELUBAC & Cie,16 PLACE SALEON TERRAS,LE CHEYLARD,DELUFR22XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,Banque du Batiment et des Travaux Publics,48 RUE LA PEROUSE CS 51686,PARIS CEDEX,BATIFRP1XXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE EDEL SNC,60 rue Buissonnière CS 17601,LABEGE CEDEX 5,EDELFRP1XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BANQUE EUROPEENNE DU CREDIT MUTUEL,4 RUE FREDERIC-GUILLAUME RAIFFEISEN,STRASBOURG,CMCIFRP1BEC,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),4 RUE FREDERIC-GUILLAUME RAIFFEISEN,STRASBOURG,CMCIFRPAXXX,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,BANQUE FRANCAISE COMMERCIALE DE L'OCEAN INDIEN,"60, RUE ALEXIS DE VILLENEUVE",SAINT DENIS,BFCORERXXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BANQUE INTERNATIONALE DE COMMERCE - BRED,"18,quai de la Rapee",PARIS,BICFFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BANQUE PALATINE,42 rue d.Anjou,PARIS,BSPFFRPPXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POPULAIRE ALSACE LORRAINE CHAMPAGNE,3 Rue Francois de Curel BP 40124,METZ CEDEX 1,CCBPFRPPMTZ,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POPULAIRE AQUITAINE CENTRE ATLANTIQUE,"10,Quai des Queyries",Bordeaux Cedex,CCBPFRPPBDX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POPULAIRE AUVERGNE RHONE-ALPES,4 boulevard Eugene Deruelle,LYON,CCBPFRPPGRE,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POPULAIRE BOURGOGNE FRANCHE COMTE,14 Bd de la Tremouille BP 310,DIJON Cedex,CCBPFRPPDJN,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POPULAIRE DU NORD,"845,avenue de la Republique",Marcq en Baroeul,CCBPFRPPLIL,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POPULAIRE DU SUD,"38 Boulevard Georges Clemenceau,",Perpignan Cedex 09,CCBPFRPPPPG,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POPULAIRE GRAND OUEST,"1,Rue Francoise Sagan,Saint Herblain",NANTES CEDEX 9,CCBPFRPPNAN,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POPULAIRE MEDITERRANEE,457 Promenade des Anglais,NICE CEDEX 3,CCBPFRPPMAR,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POPULAIRE OCCITANE,"33 . 43,avenue Georges Pompidou",Balma Cedex,CCBPFRPPTLS,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POPULAIRE RIVES DE PARIS,76-78 avenue de France,Paris cedex 13,CCBPFRPPMTG,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POPULAIRE VAL DE FRANCE,"9,AVENUE NEWTON",MONTIGNY LE BRETONNEUX,CCBPFRPPVER,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BANQUE POUYANNE,"12, PLACE D'ARMES",ORTHEZ,POUYFR21XXX,Pending EDS registration,Requesting PSP;Responding PSP,2025-07-07,,
FRANCE,BANQUE RICHELIEU FRANCE,1-3-5 rue Paul Cézanne,PARIS,KBLXFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BANQUE SBA,"68, AVENUE DES CHAMPS ELYSEES",PARIS,SBAAFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BANQUE STELLANTIS FRANCE,43 RUE JEAN PIERRE TIMBAUD,POISSY,SFBSFRP1XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BANQUE TRANSATLANTIQUE,26 avenue F D Roosevelt,PARIS,CMCIFRP1BTR,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,BCB Payments (Europe) SASU,2 rue Jean Lantier,Paris,BBPSFRP2XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BforBANK,Tour Franklin - 100-101 Terrasse Boieldieu,PARIS LA DEFENSE,BFBKFRP1XXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BNP PARIBAS ANTILLES GUYANE,1 BOULEVARD HAUSSMANN,PARIS,BNPAMQMXXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BNP PARIBAS FACTOR,46-52 RUE ARAGO,PUTEAUX,BNPCFR21XXX,Ready for operations,Responding PSP,2025-09-01,,
FRANCE,BNP PARIBAS PERSONAL FINANCE,"1, BD HAUSMANN",PARIS,CETEFRP1XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BNP PARIBAS REUNION,1 BOULEVARD HAUSSMANN,PARIS,BNPARERXXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BNP PARIBAS SA,16 BOULEVARD DES ITALIENS,PARIS,BNPAFRPPXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,BOURSORAMA BANQUE,18 QUAI DU POINT DU JOUR,BOULOGNE BILLANCOURT,BOUSFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BPCE,7 PROMENADE GERMAINE SABLON,Paris cedex 13,BPCEFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,BRED BANQUE POPULAIRE,"18,quai de la Rapee",PARIS,BREDFRPPXXX,Ready for operations,Requesting PSP;Responding PSP,2025-08-22,,
FRANCE,BRED GESTION,"18,quai de la Rapee",PARIS,BRGEFRPPXXX,Ready for operations,Requesting PSP;Responding PSP,2025-08-22,,
FRANCE,CA CONSUMER FINANCE,"1 Rue Victor Basch, CS 70001",Massy Cedex,AGRIFRP1ACF,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,CA INDOSUEZ,"17, RUE DU DOCTEUR LANCEREAUX",PARIS,SIBLFRPPXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CACEIS BANK,89-91 rue Gabriel Peri,Montrouge,ISAEFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,CAISSE CENTRALE DU CREDIT MUTUEL,46 RUE DU BASTION,PARIS,CMUTFR21CCM,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,CAISSE D'EPARGNE AQUITAINE POITOU-CHARENTES,61 RUE DU CHATEAU D'EAU,BORDEAUX CEDEX,CEPAFRPP333,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE AUVERGNE LIMOUSIN,63 rue Montlosier,Clermont-Ferrand,CEPAFRPP871,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE BOURGOGNE FRANCHE-COMTE,"1,Rond point de la Nation BP 23088",DIJON Cedex 9,CEPAFRPP213,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE BRETAGNE-PAYS DE LOIRE,15 Avenue de la jeunesse BP127,Orvault Cedex,CEPAFRPP444,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE CEPAC,Place Estrangin-Pastre P108,MARSEILLE Cedex 6,CEPAFRPP131,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE COTE D'AZUR,455 PROMENADE DES ANGLAIS POBOX 3297,NICE CEDEX 3,CEPAFRPP831,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE GRAND EST EUROPE,Avenue du Rhin,Strasbourg,CEPAFRPP513,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE HAUTS DE FRANCE,135 Pont de Flandres,EURALILLE,CEPAFRPP627,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE ILE DE FRANCE,"19,rue du Louvre",PARIS,CEPAFRPP751,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE LANGUEDOC-ROUSSILLON,254 Rue Michel Teule BP 7330,Montpellier Cedex 4,CEPAFRPP348,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE LOIRE CENTRE,7 rue d'Escures,Orleans,CEPAFRPP450,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE LOIRE-DROME-ARDECHE,Espace Fauriel BP 147,SAINT-ETIENNE CEDEX 2,CEPAFRPP426,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE MIDI-PYRENEES,"10,avenue Maxwell . B.P. 22306",TOULOUSE Cedex,CEPAFRPP313,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE NORMANDIE,151 Rue d.Uelzen,Bois-Guillaume,CEPAFRPP142,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE D'EPARGNE RHONE-ALPES,116 Cours Lafayette BP 3276,LYON CEDEX 03,CEPAFRPP382,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE DE CREDIT MUNICIPAL D'AVIGNON,2 rue Viala,AVIGNON,CSCAFR21XXX,Ready for operations,Requesting PSP;Responding PSP,2025-08-09,,
FRANCE,CAISSE DE CREDIT MUNICIPAL DE BORDEAUX,29 RUE DU MIRAIL,BORDEAUX,CCMOFR21XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,CAISSE DE CREDIT MUNICIPAL DE BOULOGNE-SUR-MER,2 place Jean Febvay,BOULOGNE SUR MER,CMUBFR21XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,CAISSE DE CREDIT MUNICIPAL DE LYON,"221, rue Duguesclin",LYON,CCMLFR21XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,Caisse de Crédit Municipal de Nantes,2 rue Marcel PAUL,Nantes,CCMTFR21XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,CAISSE DE CREDIT MUNICIPAL DE NIMES,"8 BIS, RUE GUIZOT",NIMES,CCMNFR21XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,CAISSE DE CREDIT MUNICIPAL DE ROUBAIX,"30, rue de Lille",ROUBAIX,CMROFR21XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,CAISSE DE CREDIT MUNICIPAL DE TOULON,63 rue Victor Clappier,TOULON,CCUTFR21XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,CAISSE DES DEPOTS ET CONSIGNATIONS,"56, RUE DE LILLE",PARIS,CDCGFRPPXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE FEDERALE DE CREDIT MUTUEL,4 RUE FREDERIC-GUILLAUME RAIFFEISEN,STRASBOURG,CMCIFR2ACEE,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,CAISSE FEDERALE DU CREDIT MUTUEL DU MAINE-ANJOU BASSE-NORMANDIE,"43, BOULEVARD VOLNEY",LAVAL CEDEX 9,CMCIFR2ALAV,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,CAISSE FEDERALE DU CREDIT MUTUEL OCEAN,34 rue Leandre Merlet,LA ROCHE SUR YON,CMCIFR2ACMO,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL DE CENTRE LOIRE,8 ALLEE DES COLLEGES,BOURGES,AGRIFRPP848,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL DE CHAMPAGNE BOURGOGNE,"269, FAUBOURG CRONCELS",TROYES,AGRIFRPP810,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL DE FRANCHE COMTE,"11, AVENUE ELISEE-CUSENIER",BESANCON,AGRIFRPP825,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL DE L'ANJOU ET DU MAINE,77 avenue Olivier Messiaen,LE MANS,AGRIFRPP879,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL DE LA CORSE,1 avenue Napoleon 111 PB 308,AJACCIO,AGRIFRPP820,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL DE LORRAINE,"56-58, AVENUE ANDRE-MALRAUX",METZ,AGRIFRPP861,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL DE NORMANDIE,15 EXPLANADE BRILLAUD DE LAUJARDIERE,CAEN,AGRIFRPP866,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL DE NORMANDIE SEINE,CITE DE L'AGRICULTURE CHEMIN DE LA BRETEQUE,BOIS GUILLAUME,AGRIFRPP883,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL DE PARIS ET D'ILE DE FRANCE,"26, QUAI DE LA RAPEE",PARIS,AGRIFRPP882,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL DE TOULOUSE 31,6 PLACE JEANNE D'ARC,TOULOUSE,AGRIFRPP831,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL DU LANGUEDOC,AVENUE DE MONTPELLIERET MAURIN,LATTES,AGRIFRPP835,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL LOIRE  HAUTE-LOIRE,"94, RUE BERGSON",SAINT ETIENNE,AGRIFRPP845,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONAL DE CREDIT AGRICOLE MUTUEL NORD MIDI PYRENNEES,219 AVENUE FRANCOIS VERDIER,ALBI,AGRIFRPP812,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL ATLANTIQUE VENDEE,route de Paris,NANTES,AGRIFRPP847,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL BRIE PICARDIE,500 rue Saint-Fuscien,AMIENS,AGRIFRPP887,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL CENTRE-EST,1 RUE PIERRE DE TRUCHIS DE LAYS,CHAMPAGNE MONT D OR,AGRIFRPP878,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL CHARENTE-MARITIME DEUX-SEVRES,14 rue Louis Tardy,Lagord,AGRIFRPP817,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL D'AQUITAINE,"106, quai de Bacalan",BORDEAUX,AGRIFRPP833,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL D'ILLE_ET_VILAINE,"4, rue Louis Braille",Saint-Jacques-de-la-Lande,AGRIFRPP836,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE CHARENTE_PERIGORD,RUE D'EPAGNAC,SOYAUX,AGRIFRPP824,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE LA GUADELOUPE,PETIT PEROU LES ABYMES,ABYMES CEDEX,AGRIGPGXXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE LA MARTINIQUE ET DE LA GUYANE,Rue Case Negres - Place d'Armes,LE LAMENTIN Cedex,AGRIMQMXXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE LA TOURAINE ET DU POITOU,"18, RUE SALVADOR-ALLENDE",POITIERS,AGRIFRPP894,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DES COTES D ARMOR,LA CROIX TUAL PLOUFRAGAN,SAINT BRIEUC Cedex 9,AGRIFRPP822,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DU CENTRE OUEST,20 RUE PIERRE BOULEZ,LIMOGES,AGRIFRPP895,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DU FINISTERE,"7, ROUTE DU LOC'H",QUIMPER,AGRIFRPP829,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DU NORD EST,"25, RUE LIBERGIER",REIMS,AGRIFRPP802,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL PROVENCE COTE D'AZUR,Avenue Paul Arene Les Negadis,Draguignan,AGRIFRPP891,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL PYRENEES GASCOGNE,11 BD KENNEDY BP 329,TARBES Cedex,AGRIFRPP869,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL SUD MEDITERRANEE,"30, RUE PIERRE-BRETONNEAU",PERPIGNAN,AGRIFRPP871,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL VAL DE FRANCE,"1, R DANIEL BOUTET",CHARTRES,AGRIFRPP844,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,Caisse Régionale du Crédit Agricole Mutuel de la Réunion et de Mayotte,CITE DES LAURIERS PARC JEAN DE CAMBIAIRE,SAINT DENIS,AGRIRERXXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CCF,103 rue de Grenelle,Paris,CCDFFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,CFCAL-BANQUE,"1, RUE DU DOME",STRASBOURG,CFCLFR21XXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
FRANCE,CHOLET DUPONT OUDART,"16, PLACE DE LA MADELEINE",PARIS,CHDUFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,COFIDIS,"Parc de la Haute Borne, 61 avenue Halley",Villeneuve d'Ascq,CFFIFR21XXX,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,Compagnie de Financement Foncier,182 AVENUE DE France,Paris,CFFOFRPPXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,COMPAGNIE GENERALE DE CREDIT AUX PARTICULIERS (CREDIPAR),43 RUE JEAN PIERRE TIMBAUD,POISSY,CGCPFRP1XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
FRANCE,CREATIS,"Parc de la Haute Borne -  61, Avenue Halley",Villeneuve d'Ascq,CRTAFR21XXX,Ready for operations,Requesting PSP;Responding PSP,2025-10-05,,
FRANCE,CREDIT AGRICOLE ALPES PROVENCE,"25, CHEMIN DES TROIS CYPRES",AIX-EN-PROVENCE CEDEX 3,AGRIFRPP813,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
