Country,ParticipantName,Address,City,BIC,Status,Role,Readiness Date,Scheme Leaving Date,Scheme Options
AUSTRIA,OBERBANK AG,"Untere Donaulande, 28",Linz,OBKLAT2LXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,OBEROESTERREICHISCHE LANDESBANK AKTIENGESELLSCHAFT,"38, LANDSTRASSE",LINZ,OBLAAT2LXXX,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Österreichische Ärzte- und Apothekerbank AG,"4, KOLINGASSE",VIENNA,BWFBATW1XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,PARTNER BANK AG,Goethestrasse 1a,Linz,PABAAT2LXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,Posojilnica Bank eGen,"5-7, PAULITSCHGASSE",KLAGENFURT,VSGKAT2KXXX,Ready for operations,Responding PSP;Requesting PSP,2025-10-05,,
AUSTRIA,Raiffeisen Bank Going reg.Gen.m.b.H.,Dorfstrasse 25,Going,RZTIAT22232,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen Bank International AG,"9, AM STADTPARK",VIENNA,RZBAATWWXXX,Ready for operations,Responding PSP;Requesting PSP,2025-10-05,,
AUSTRIA,Raiffeisen Bank Lurnfeld-Mölltal eGen,Hauptstrasse 23,Moellbruecke,RZKTAT2K412,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen Bank Villach reg.Gen.m.b.H.,Nikolaigasse 4,Villach,RZKTAT2K496,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen Bezirksbank Kufstein eGen,Oberer Stadtplatz 1a,Kufstein,RZTIAT22358,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen Bezirksbank Neusiedl Ost eGen,Untere Hauptstrasse 36,Nickelsdorf,RLBBAT2E038,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen Digital Bank AG,Am Stadtpark 9,VIENNA,CENBATWWXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,Raiffeisen Landesbank Vorarlberg mit Revisionsverband eGen,Rheinstrasse 11,Bregenz,RVVGAT2BXXX,Pending EDS registration,Responding PSP;Requesting PSP,,,
