"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date","Scheme Options"
"AUSTRIA","Raiffeisen-Bezirksbank Spittal/Drau reg.Gen.m.b.H.","Burgplatz 2","Spittal/Drau","RZKTAT2K267","2009-11-02","",""
"AUSTRIA","Raiffeisen-Landesbank Steiermark AG","Radetzkystrasse 15","Graz","RZSTAT2GXXX","2009-11-02","",""
"AUSTRIA","Raiffeisen-Landesbank Tirol AG","Adamgasse 1-7","Innsbruck","RZTIAT22XXX","2009-11-02","",""
"AUSTRIA","Raiffeisen-Regionalbank Schwaz-Wattens eGen","Innsbrucker Strasse 11","Schwaz","RZTIAT22322","2009-11-02","",""
"AUSTRIA","Raiffeisenbank  Schilcherland eGen","Raiffeisenstrasse 1","Deutschlandsberg","RZSTAT2G043","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Absam-Thaur-Volders eGen","Salzbergstrasse 64","Absam","RZTIAT22200","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Aichfeld eGen","Kaerntner Strasse 2","Knittelfeld","RZSTAT2G346","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Aist eGen","Stadtplatz 17","Pregarten","RZOOAT2L460","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Alberschwende eGen","Hof 18","Alberschwende","RVVGAT2B401","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Almtal eGen","Im Dorf 15","Gruenau im Almtal","RZOOAT2L127","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Alpbachtal eGen","Nr. 177","Alpbach","RZTIAT22203","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Altenmarkt - Flachau - Eben eGen","Marktplatz 5","Altenmarkt","RVSAAT2S004","2010-09-06","",""
"AUSTRIA","Raiffeisenbank am Hofsteig eGen","Kellhofstr. 12","Wolfurt","RVVGAT2B482","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Anthering-Elixhausen eGen","Salzburger Strasse 6","Anthering","RVSAAT2S007","2010-09-06","",""
"AUSTRIA","RAIFFEISENBANK ARLBERG SILVRETTA eGEN","Nr. 11","Ischgl","RZTIAT22248","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Arnoldstein-Fürnitz eG","Gemeindeplatz 2","Arnoldstein","RZKTAT2K257","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Aspach-Wildenau eGen","Marktplatz 3","Aspach i. I.","RZOOAT2L016","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK ATTERGAU","Attergaustrasse 38 a","St. Georgen im Attergau","RZOOAT2L523","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Attersee-Nord eGen","Raiffeisenplatz 1","Seewalchen","RZOOAT2L608","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Attersee-Sued eGen","Dorfstrasse 50","Nussdorf/A.","RZOOAT2L363","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Bad Radkersburg-Kloech eGen","Halbenrainer Strasse 2","Bad Radkersburg","RZSTAT2G312","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Bad Wimsbach-Neydharting eGen","Markt 23","Bad Wimsbach Neydharting","RZOOAT2L750","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Bezau-Mellau-Bizau eGen","Platz 398","Bezau","RVVGAT2B406","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK BLUDENZ-MONTAFON EGEN","Werdenbergerstrasse 9","Bludenz","RVVGAT2B468","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Bodensee-Leiblachtal eGen","Seestr. 1","Hard","RVVGAT2B431","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK BRUCK-CARNUNTUM eGen","1, FRIEDRICH WILHELM RAIFFEISENPLATZ","BRUCK AN DER LEITHA","RLNWATWWBRL","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Brueckl-Eberstein-Klein St.Paul-Waisenberg reg.Gen.m.b.H.","Huettenbergerstrasse 1","Brueckl","RZKTAT2K271","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Burgenland Mitte eGen","Hauptstrasse 34","Oberpullendorf","RLBBAT2E065","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Donau-Ameisberg eGen","Marktplatz 10","Sarleinsbach","RZOOAT2L075","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Drassmarkt-Kobersdorf-St. Martin eGen","Hauptstrasse 29","Drassmarkt","RLBBAT2E014","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Drautal reg.Gen.m.b.H.","Villacher Strasse 74","Feistritz an der Drau","RZKTAT2K442","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Eberndorf reg.Gen.m.b.H.","Bahnstrasse 22","Eberndorf","RZKTAT2K288","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Eberschwang-Pramet eGen","Eberschwang 116","Eberschwang","RZOOAT2L081","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Edt-Lambach eGen","Marktplatz 14","Lambach","RZOOAT2L083","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK EGGENBURG eGen","Hauptplatz 24-26","EGGENBURG","RLNWATWW123","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Ehrwald-Lermoos-Biberwier reg.Gen.m.b.H.","Kirchplatz 31","Ehrwald","RZTIAT22219","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Ennstal eGen","Kirchenplatz 11","Ternberg","RZOOAT2L080","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Faistenau-Hintersee eGen","Am Lindenplatz 2","Faistenau","RVSAAT2S016","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Feldkirchen-Goldwoerth eGen","Hauptstrasse 2","Feldkirchen a.d. Donau","RZOOAT2L100","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Flachgau Mitte eGen","Dorf 1","Eugendorf","RVSAAT2S015","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Flachgau Nord eGen","Hauptstrasse 3","Lamprechtshausen","RVSAAT2S030","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Frauenkirchen-Mönchhof-Podersdorf am See eGen","Amtshausgasse 2","Frauenkirchen","RLBBAT2E116","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Friesach-Metnitztal reg.Gen.m.b.H.","Hauptplatz 13","Friesach/Ktn.","RZKTAT2K501","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Fuschlsee West eGen","Wolfgangseestr. 26","Hof","RVSAAT2S065","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Gamlitz eGen","Obere Hauptstrasse 210","Gamlitz","RZSTAT2G094","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Gampern eGen","Gampern 70","Gampern","RZOOAT2L113","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Gastein eGen","Kaiser-Franz-Platz 4","Bad Hofgastein","RVSAAT2S026","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Geretsberg eGen","Geretsberg 3","Geretsberg","RZOOAT2L118","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Gleinstaetten-Leutschach - Groß St.Florian eGen","Gleinstaetten 168","Gleinstaetten","RZSTAT2G102","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Golling-Scheffau-Kellau eGen","Markt 45","Golling","RVSAAT2S017","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Grafenstein-Magdalensberg und Umgebung","Klopeiner Strasse 3","Grafenstein","RZKTAT2K320","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Gramastetten eGen","Marktstrasse 41","Gramastetten","RZOOAT2L135","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Gratkorn eGen","Grazer Strasse 5","Gratkorn","RZSTAT2G111","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Gratwein-Hitzendorf eGen","Bahnhofstrasse 22","Gratwein-Strassengel","RZSTAT2G138","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Graz-Nord eGen","Grazer Strasse 62","Graz-Andritz","RZSTAT2G377","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Graz-St.Peter eGen","St. Peter-Hauptstrasse 55","Graz-St.Peter","RZSTAT2G367","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Graz-Strassgang eGen","Kaerntner Strasse 394","Graz-Strassgang","RZSTAT2G439","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Grein eGen","Hauptstrasse 25","Grein","RZOOAT2L068","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK GROSS GERUNGS eGen","47, HAUPTPLATZ","GROSSGERUNGS","RLNWATW1589","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Grossarl-Huettschlag eGen","Marktstrasse 8","Grossarl","RVSAAT2S019","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Grossglockner-Weissensee eG","Winklern 37","Winklern","RZKTAT2K561","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Grossgmain eGen","Salzburger Str. 53","Grossgmain","RVSAAT2S020","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Gunskirchen eGen","Raiffeisenplatz 1","Gunskirchen","RZOOAT2L129","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Hallein-Oberalm eGen","Robertplatz 1","Hallein","RVSAAT2S022","2010-09-06","",""
