IID/QR-IID;Valid on;Concatenation;New IID/QR-IID;SIC IID;Headquarters;IID type;QR-IID allocation;Name of bank/institution;Street Name;Building Number;Post Code;Town Name;Country;BIC;SIC participation;RTGS customer payments, CHF;IP customer payments, CHF;euroSIC participation;LSV+/BDD, CHF;LSV+/BDD, EUR;202508011630346
100;2025-08-04;N;;001008;100;1;;Schweizerische Nationalbank;Börsenstrasse;15;8022;Zürich;CH;SNBZCHZZXXX;Y;Y;N;Y;Y;N
1007;2025-08-04;N;;010075;1007;1;;Schweizerische Nationalbank Transit wCBDC;Börsenstrasse;15;8022;Zürich;CH;SNBZCHZZDX2;Y;N;N;N;N;N
110;2025-08-04;N;;001100;100;2;;Schweizerische Nationalbank;Bundesplatz;1;3003;Bern;CH;SNBZCHZZXXX;Y;Y;N;Y;Y;N
115;2025-08-04;N;;001158;100;2;;Schweizerische Nationalbank;Bundesverw. / Bundesplatz;1;3003;Bern;CH;SNBZCHZZXXX;Y;Y;N;Y;Y;N
193;2025-08-04;N;;001933;193;1;;SECB Swiss Euro Clearing Bank;Nibelungenplatz;3;60318;Frankfurt am Main;DE;SECGDEFFXXX;N;N;N;Y;N;N
202;2025-08-04;N;;002020;230;2;;UBS Switzerland AG;Poststrasse;10;8610;Uster 1;CH;UBSWCHZH86N;Y;Y;Y;Y;Y;Y
203;2025-08-04;N;;002031;230;2;;UBS Switzerland AG;Bahnhofstrasse;26;9320;Arbon;CH;UBSWCHZH93A;Y;Y;Y;Y;Y;Y
204;2025-08-04;N;;002046;230;2;;UBS Switzerland AG;Poststrasse;198;7050;Arosa;CH;UBSWCHZH70E;Y;Y;Y;Y;Y;Y
206;2025-08-04;N;;002062;230;2;;UBS Switzerland AG;Paradeplatz;6;8098;Zürich;CH;UBSWCHZH80V;Y;Y;Y;Y;Y;Y
207;2025-08-04;N;;002078;230;2;;UBS Switzerland AG;Bahnhofstrasse;39;8180;Bülach;CH;UBSWCHZH81M;Y;Y;Y;Y;Y;Y
208;2025-08-04;N;;002083;230;2;;UBS Switzerland AG;Poststrasse;1;7002;Chur;CH;UBSWCHZH70A;Y;Y;Y;Y;Y;Y
209;2025-08-04;N;;002099;230;2;;UBS Switzerland AG;Promenade;48;7270;Davos Platz 1;CH;UBSWCHZH72D;Y;Y;Y;Y;Y;Y
210;2025-08-04;N;;002106;230;2;;UBS Switzerland AG;Bahnhofstrasse;11;5201;Brugg AG;CH;UBSWCHZH52A;Y;Y;Y;Y;Y;Y
211;2025-08-04;N;;002114;230;2;;UBS Switzerland AG;Hauptstrasse;44;3186;Düdingen;CH;UBSWCHZH31A;Y;Y;Y;Y;Y;Y
213;2025-08-04;N;;002138;230;2;;UBS Switzerland AG;Rorschacherstrasse;1;9450;Altstätten SG;CH;UBSWCHZH94N;Y;Y;Y;Y;Y;Y
214;2025-08-04;N;;002143;230;2;;UBS Switzerland AG;Zugerstrasse;22;8810;Horgen 1;CH;UBSWCHZH88A;Y;Y;Y;Y;Y;Y
215;2025-08-04;N;;002159;230;2;;UBS Switzerland AG;Rue du Rhône;8;1211;Genève 2;CH;UBSWCHZH12C;Y;Y;Y;Y;Y;Y
216;2025-08-04;N;;002167;230;2;;UBS Switzerland AG;Bahnhofplatz;3;8853;Lachen SZ;CH;UBSWCHZH88B;Y;Y;Y;Y;Y;Y
217;2025-08-04;N;;002175;230;2;;UBS Switzerland AG;Hauptstrasse;37;8280;Kreuzlingen 1;CH;UBSWCHZH82P;Y;Y;Y;Y;Y;Y
219;2025-08-04;N;;002191;230;2;;UBS Switzerland AG;Rathausstrasse;11;8570;Weinfelden;CH;UBSWCHZH85B;Y;Y;Y;Y;Y;Y
220;2025-08-04;N;;002209;230;2;;UBS Switzerland AG;St. Gallerstrasse;5;9471;Buchs SG 1;CH;UBSWCHZH94P;Y;Y;Y;Y;Y;Y
221;2025-08-04;N;;002217;230;2;;UBS Switzerland AG;Plazza Mauritius/Via Maistra;14;7500;St. Moritz 1;CH;UBSWCHZH75A;Y;Y;Y;Y;Y;Y
222;2025-08-04;N;;002225;230;2;;UBS Switzerland AG;Bahnhofstrasse;25;8304;Wallisellen;CH;UBSWCHZH83B;Y;Y;Y;Y;Y;Y
223;2025-08-04;N;;002230;230;2;;UBS Switzerland AG;Bahnhofplatz;13;8953;Dietikon 1;CH;UBSWCHZH89D;Y;Y;Y;Y;Y;Y
225;2025-08-04;N;;002256;230;2;;UBS Switzerland AG;Bellevue / Theaterstrasse;20;8098;Zürich;CH;UBSWCHZH80G;Y;Y;Y;Y;Y;Y
226;2025-08-04;N;;002264;230;2;;UBS Switzerland AG;Rue du Jura;11;2900;Porrentruy 1;CH;UBSWCHZH29A;Y;Y;Y;Y;Y;Y
227;2025-08-04;N;;002272;230;2;;UBS Switzerland AG;Bälliz;1;3601;Thun;CH;UBSWCHZH36A;Y;Y;Y;Y;Y;Y
228;2025-08-04;N;;002288;230;2;;UBS Switzerland AG;Centre La Combe/R. de la Môrache;6;1260;Nyon 1;CH;UBSWCHZH12T;Y;Y;Y;Y;Y;Y
230;2025-08-04;N;;002301;230;1;;UBS Switzerland AG;Bahnhofstrasse;45;8098;Zürich;CH;UBSWCHZH80A;Y;Y;Y;Y;Y;Y
231;2025-08-04;N;;002316;230;2;;UBS Switzerland AG;Bahnhofstrasse;61;5001;Aarau;CH;UBSWCHZH50A;Y;Y;Y;Y;Y;Y
232;2025-08-04;N;;002324;230;2;;UBS Switzerland AG;Badstrasse;12;5401;Baden;CH;UBSWCHZH54A;Y;Y;Y;Y;Y;Y
233;2025-08-04;N;;002332;230;2;;UBS Switzerland AG;Aeschenplatz;6;4002;Basel;CH;UBSWCHZH40A;Y;Y;Y;Y;Y;Y
234;2025-08-04;N;;002348;230;2;;UBS Switzerland AG;Largo Elvezia;2;6501;Bellinzona;CH;UBSWCHZH65A;Y;Y;Y;Y;Y;Y
235;2025-08-04;N;;002353;230;2;;UBS Switzerland AG;Bubenbergplatz;3;3000;Bern 94;CH;UBSWCHZH30A;Y;Y;Y;Y;Y;Y
236;2025-08-04;N;;002369;230;2;;UBS Switzerland AG;Piazza Col. C. Bernasconi;5;6830;Chiasso 1;CH;UBSWCHZH68B;Y;Y;Y;Y;Y;Y
238;2025-08-04;N;;002385;230;2;;UBS Switzerland AG;Dorfstrasse;94;8706;Meilen;CH;UBSWCHZH87C;Y;Y;Y;Y;Y;Y
239;2025-08-04;N;;002390;230;2;;UBS Switzerland AG;Zürcherstrasse;144;8501;Frauenfeld;CH;UBSWCHZH85A;Y;Y;Y;Y;Y;Y
240;2025-08-04;N;;002404;230;2;;UBS Switzerland AG;Rue du Rhône;8;1211;Genève 2;CH;UBSWCHZH12A;Y;Y;Y;Y;Y;Y
241;2025-08-04;N;;002412;230;2;;UBS Switzerland AG;Bahnhofstrasse;20;3800;Interlaken;CH;UBSWCHZH38A;Y;Y;Y;Y;Y;Y
242;2025-08-04;N;;002428;230;2;;UBS Switzerland AG;Avenue Léopold-Robert;16;2300;Chaux-de-Fonds, La;CH;UBSWCHZH23A;Y;Y;Y;Y;Y;Y
243;2025-08-04;N;;002433;230;2;;UBS Switzerland AG;Place St-François;16;1002;Lausanne;CH;UBSWCHZH10A;Y;Y;Y;Y;Y;Y
244;2025-08-04;N;;002449;230;2;;UBS Switzerland AG;Hauptgasse;8;9620;Lichtensteig;CH;UBSWCHZH96C;Y;Y;Y;Y;Y;Y
245;2025-08-04;N;;002457;230;2;;UBS Switzerland AG;Rheinstrasse;12;4410;Liestal;CH;UBSWCHZH44A;Y;Y;Y;Y;Y;Y
246;2025-08-04;N;;002465;230;2;;UBS Switzerland AG;Piazza Grande;1;6601;Locarno 1;CH;UBSWCHZH66A;Y;Y;Y;Y;Y;Y
247;2025-08-04;N;;002470;230;2;;UBS Switzerland AG;Piazzetta della Posta;;6901;Lugano;CH;UBSWCHZH69A;Y;Y;Y;Y;Y;Y
248;2025-08-04;N;;002481;230;2;;UBS Switzerland AG;Bahnhofplatz;2;6002;Luzern;CH;UBSWCHZH60A;Y;Y;Y;Y;Y;Y
249;2025-08-04;N;;002496;230;2;;UBS Switzerland AG;Avenue du Casino;41;1820;Montreux 1;CH;UBSWCHZH18D;Y;Y;Y;Y;Y;Y
250;2025-08-04;N;;002508;230;2;;UBS Switzerland AG;Rathausstrasse;8;8640;Rapperswil SG;CH;UBSWCHZH86M;Y;Y;Y;Y;Y;Y
251;2025-08-04;N;;002513;230;2;;UBS Switzerland AG;Römerhofplatz;5;8032;Zürich;CH;UBSWCHZH80H;Y;Y;Y;Y;Y;Y
252;2025-08-04;N;;002529;230;2;;UBS Switzerland AG;Hauptstrasse;78;9401;Rorschach;CH;UBSWCHZH94A;Y;Y;Y;Y;Y;Y
253;2025-08-04;N;;002537;230;2;;UBS Switzerland AG;Bahnhofstrasse;5;8630;Rüti ZH;CH;UBSWCHZH86P;Y;Y;Y;Y;Y;Y
254;2025-08-04;N;;002545;230;2;;UBS Switzerland AG;Am Bahnhofplatz;;9001;St. Gallen;CH;UBSWCHZH90A;Y;Y;Y;Y;Y;Y
